MEF2C,,FXYD6,,,ANXA1,,DDIT4,SEC61G,MANEA,PCED1B,PRDM1,RPL37A,PTPN4,,RPL30,RUVBL2,RAB27B,METTL7A
BRAF,,ELK3,,,FCGRT,,NKG7,SLC3A2,PDK1,RPL12,IL2RG,IRF1,ZBTB7B,,RPL13,GAB3,MFHAS1,RTKN2
RPS8,,ITGB2,,,LST1,,RAC2,CD99,ELL2,JAK3,SLC9A3R1,CD53,TRAP1,,NPM1,THUMPD2,STAT6,ARID5B
RAC2,,ICAM2,,,SOD2,,RAP1B,PPM1K,LMF1,PHF20L1,RNF166,PPP2R5C,CCND2,,RPS6,MMD,MAD2L1,STAM
RPL37,,GFOD2,,,S100A8,,ITGB2,CTSB,FAS,REV1,GK5,HIGD2A,MYC,,RPL11,UBAP2,PDE4B,VPS54
ADAM28,,PRCP,,,RNF130,,CD44,SELL,PDIA6,MYC,PRKCB,CST7,RPS8,,RPL38,CCR1,DHFR,ICA1
ACTR3,,BSG,,,CORO1A,,ID2,SLC20A1,KRTCAP2,NUMA1,ZNF600,ICAM3,ETS1,,CALM1,SH3KBP1,,BIRC3
RPS3,,ICAM1,,,APLP2,,PFN1,TGFBI,SPCS2,PLCG1,CAPN2,RPS20,TTC38,,COX4I1,THOP1,,ST8SIA4
RPL27,,PPM1F,,,TSPO,,JUN,IRF7,CRELD2,RPS8,PARP8,RPL28,KLF2,,RPL39,TNFRSF1A,,PPM1B
XBP1,,RGL2,,,NFKBIA,,JAK1,DUSP5,TMEM156,POLR3E,OSBPL5,ANKRD12,SPINT2,,HCST,MDC1,,SMAD2
RPL27A,,SMAD1,,,ANXA2,,LITAF,CLIC3,MAN1A1,RPRD2,AHNAK,RPL30,NDUFA1,,RPL41,METRNL,,PELO
RPL37A,,APOLD1,,,DUSP1,,,PTPRC,SSR3,RPL37,CCL5,RPL13,RPS3,,RPS7,CLEC7A,,S1PR4
NFKBIA,,,,,CD53,,,CD4,ICAM1,CABIN1,FGR,CTSW,EIF3L,,IL2RG,COX10,,PDP1
EAF2,,,,,VCAN,,,ERP29,XBP1,RPL35,ITGAM,NPM1,HLA-F,,B2M,EIF2B2,,PRDM1
EIF4A2,,,,,SERPINB1,,,MAPKAPK2,PRDX4,RPS3,LPCAT1,RPS6,RPL27A,,RPS21,CDC123,,CD4
RASGRP2,,,,,CEBPB,,,OFD1,SEC11C,RPL27,ZEB2,DUSP2,IL10RA,,LDHB,ZEB2,,CDC25B
CD53,,,,,PRR13,,,P4HB,GNG7,ZNF609,CYTH3,RPL11,NGDN,,RPS2,CHD1L,,FAM110A
STK4,,,,,ASAH1,,,TRAM1,TXNDC11,EIF3L,KCNAB2,RPL38,JMJD6,,ITGB2,CD151,,GBP2
LAPTM5,,,,,LAPTM5,,,SLC15A4,SPCS3,RPL27A,RPS14,CALM1,TPCN1,,RPL4,DUSP5,,FRMD8
HLA-DMA,,,,,HLA-DMA,,,TSPAN13,FKBP11,RPL37A,EFHD2,COX4I1,RASGRP2,,RPL24,CHD4,,ITGAE
UBA52,,,,,HLA-DRB1,,,TCF4,,PIM1,PLEK,RPL39,STMN3,,RPL15,ALCAM,,LRRC42
HLA-DRB1,,,,,ATP6V0B,,,ITM2C,,PHF1,TPST2,FYN,PPP2R5C,,RPL10,HTRA2,,PLEK
RPL28,,,,,GRN,,,MAP1A,,BMS1,DSTN,HCST,RNF125,,RPS27A,RNPS1,,ZCCHC8
RPS18,,,,,SH3BGRL3,,,RNASET2,,DDX50,MYO1F,RPL41,HIGD2A,,RPL8,WRAP53,,CLDND1
TRAF4,,,,,ZFAND5,,,SPCS1,,HMOX2,MTSS1,RPS7,CST7,,RPL26,TRAF3IP2,,GLRX
MICAL3,,,,,DAZAP2,,,TXN,,SUSD3,RPS29,IL2RG,SMAP2,,RPA3,NUP205,,LIPA
RPL30,,,,,TYROBP,,,EIF4A3,,ZNF780B,LGALS1,B2M,F2R,,NDUFS5,SKAP1,,ATP2B1
PLAC8,,,,,TNFRSF1B,,,IRF2BP2,,FKTN,PLEKHA5,RPS21,BIN1,,RPL36,ADAM8,,TRIM16
RPL13,,,,,S100A6,,,SEL1L3,,STMN3,CDC42SE2,LDHB,GZMM,,RPL7,CD59,,ELK3
