CD99,,PPM1F,,,CD63,,NKG7,MAPKAPK2,MZB1,DNAJB1,GZMB,GIMAP7,CDC42SE2,,PFN1,FURIN,STAT6,ICA1
CLK1,,PRCP,,,CD68,,PFN1,MS4A6A,PAIP2B,EEF1A1,IL15RA,GPSM3,CDK5RAP1,,PTTG1,GAB3,TAF1B,IL10RA
CMTM6,,PTPRC,,,CD74,,PLAC8,MZB1,PDIA4,EEF1B2,IL2RG,GZMB,CEP68,,RGS1,GGT1,THADA,ISG20
COCH,,RASA4,,,CEBPB,,RAC2,NPC2,PDIA6,EIF3L,ITGAM,HCST,CGRRF1,,RNPS1,GNLY,TMEM39B,ITGAE
COX7C,,RGL2,,,CEBPD,,RAP1B,NR3C1,PDK1,FAM102A,KCNAB2,HIGD2A,CHST12,,RPA3,GZMB,UBAP2,LGALS1
CTSS,,SMAD1,,,CFD,,RBM39,NUCB2,PRDX4,FAM117B,LGALS1,HLA-A,CMC1,,RPL10,HAVCR2,,LGALS3
CXCR4,,TGFBR2,,,CFL1,,SON,OFD1,RABAC1,FAM193B,LILRB1,HLA-F,CNOT6L,,RPL10A,HBEGF,,LIPA
CYBA,,TNFRSF10A,,,CLEC7A,,TYROBP,P4HB,RASGRP3,FCF1,LITAF,ICAM3,COX4I1,,RPL11,HTRA2,,LMNA
DRAM2,,TNFRSF10B,,,CMTM6,,UBB,PARK7,SDF2L1,FKTN,LLGL2,IFITM1,CST7,,RPL12,ICAM3,,LRP1
DTNB,,TNFRSF1A,,,CORO1A,,ZFP36,PDIA4,SEC11C,FNBP4,LPCAT1,IL2RG,CTSW,,RPL13,IFNGR1,,LRRC42
EAF2,,TNFRSF1B,,,COTL1,,,PLAC8,SLAMF7,GIMAP4,LYAR,IRF1,CWF19L1,,RPL13A,IFNGR2,,LTB
EEF1A1,,,,,COX5B,,,PLP2,SPATS2,GIMAP6,MBP,ISG20,DDX24,,RPL14,IGFLR1,,METTL7A
EEF1B2,,,,,CST3,,,PPM1K,SPCS2,GIMAP7,MTSS1,ITGB2,DGKA,,RPL15,IL12RB1,,MNDA
EEF1D,,,,,CSTA,,,PPP1R14B,SPCS3,GIN1,MYO1F,JUN,EEF1D,,RPL18,IRF1,,MS4A6A
EIF4A2,,,,,CSTB,,,PTPRC,SSR3,GLG1,MYO1G,LAT,EEF2,,RPL18A,ITGAE,,NFATC3
ERP29,,,,,CTSB,,,RNASE6,ST6GALNAC4,GPR183,OSBPL5,LDHB,EIF3E,,RPL19,MAN1B1,,PDP1
EVI2B,,,,,CTSD,,,RNASET2,TMED9,GPSM3,PARP8,LEPROTL1,EIF3L,,RPL23,MDC1,,PELO
FAS,,,,,CTSH,,,RNF130,TMEM156,GRK6,PIK3R5,LGALS1,EMB,,RPL23A,MDH1,,PLEK
FAU,,,,,CTSS,,,RRBP1,TXNDC11,GZMM,PIP4K2A,LIMD2,ETS1,,RPL24,METRNL,,PPM1B
FCGR2A,,,,,CYBA,,,SEC11C,TXNDC15,HAUS3,PLEK,LITAF,EXOSC8,,RPL26,MMD,,PRDM1
FCGR2B,,,,,CYBB,,,SEC61B,UBE2J1,HMOX2,PLEKHA5,LSP1,F2R,,RPL27,MNAT1,,RCAN3
