B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
APRIL,CD4,VCAM1,CA12,CD80,FIZZ1,IL6R,AP1S2,PAMR1,CCR4,PTCRA,KIT,CD40LG,GNLY,SOCS3,DUSP2,CAPN2,PRF1,BEX4,CHI3L2,,TNF,IL17A,PDCD1,CCDC141,IL17RA,CD40LG
ARHGAP24,CD59,NECTIN2,CCDC80,CD83,IDO,CD15,CFD,SCARA3,CCR7,MS4A6A,CD19,CD55,COTL1,TCF7,FGFBP2,CASP8,HAVCR2,C1orf162,CTLA4,,STAT1,IL1R1,TIGIT,CCL3L1,DPP4,VCL
ARHGAP25,CLEC10A,ANPEP,CD248,CD86,IL10,CD24,FTH1,WIF1,CD14,SLC20A1,CD20,CD69,LDHB,TSHZ2,GNLY,CCL4,CXCL13,CA6,CXCL13,,STAT4,IL1R2,TNFRSF4,CCM2,NCR3,FCGR3B
ARPC3,CLEC9A,PROM1,CKAP4,CXCL10,IRF4,CR1,SRGN,TGFBI,CD160,APP,LY9,CXCR5,CD3E,CD44,GPR183,CCL5,HLA-DRB5,CAMK4,CXCR3,,ZEB2,IL26,TOX2,CCR10,IL7R,LILRB1
ATP6V1G1,CXCR4,ACE,CLDN11,CXCL11,MS4A4A,SPN,HLA-DRB1,TNC,CD163,HSP90B1,CD24,EEF1B2,CD8A,,GZMA,CD300A,HLA-DRA,CCR7,CXCR5,,ATOH7,ITGAE,LTB,CCR3,TRAV1-2,ADAM8
THAP11,EBI3,CDH5,COL14A1,CXCL12,STAT6,FCGR1A,ANXA2,BCHE,CD19,GZMB,CD27,EIF3L,,,GZMB,CD3E,ALOX5AP,CD248,CXCR6,,PTPRC,RORA,CD40LG,CCR8,ITGAE,LITAF
B2M,FCER1A,MCAM,COL1A1,CXCL8,TRAIL,CD69,ASAH1,FGF18,CD2,SPCS1,PECAM19,FAM117B,,,GZMH,CD4,MX1,CD27,ELAPOR1,,CD4,RORC,GPR183,CD101,CD69,OSBPL5
B4GALT1,H4C3,BSG,COL1A2,CXCL9,VSIG4,CD9,FGL2,LUZP2,CD226,RNASE6,CD38,FHIT,,,GZMK,CD44,GZMB,CD28,GPR183,,IFNG,STAT3,CXCR6,ITGAE,ITGAM,TGFBR3
BACH2,HLA-DPB1,SLAMF1,COL3A1,FCGR1A,SIGLEC1,CEACAM8,MAFB,CD9,CD244,LTB,CD40,GATA3,,,KLRG1,CD52,ISG15,CD3D,H4C12,,LRP8,,MYO7A, IL1R1,GLUL,EMP3
BANK1,HLA-DQA1,CD151,COL5A2,FCGR1CP,CCL22,CMA1,SERPINB1,CFH,CD247,MAP1A,ICAM1,GIMAP5,,,NKG7,CD8A,CD82,CD3E,HEY1,,DPP4,,SLC7A10,IL1R2,RASSF1,CASP8
BCL11A,HLA-DQB1,CD160,COL6A1,FCGR2A,CCR5,CPA3,LRRFIP1,DPT,CD27,STMN1,CD79A,GIMAP8,,,PRDM1,CD8B,IFIT3,CD4,ICA1,,SGCB,,ZNF764,IL5RA,SH3BP5-AS1,BIN2
