ligand,receptor,species
COL1A1,CD93,Human
COL1A1,FLT4,Human
COL1A1,CD36,Human
COL1A1,ITGA1,Human
COL1A1,DDR2,Human
COL1A1,CD44,Human
COL1A1,ITGAV,Human
COL1A1,ITGB1,Human
COL1A1,ITGA11,Human
COL1A1,TMPRSS6,Human
COL1A1,ITGA2,Human
COL1A1,DDR1,Human
EFNB3,EPHB6,Human
EFNB3,EPHB4,Human
EFNB3,RHBDL2,Human
EFNB3,EPHB1,Human
EFNB3,EPHB3,Human
EFNB3,EPHB2,Human
EFNB3,EPHA4,Human
VTN,ITGA5,Human
VTN,ITGA8,Human
VTN,CD47,Human
VTN,ITGAV,Human
VTN,ITGB1,Human
VTN,KDR,Human
VTN,PLAUR,Human
VTN,ITGA2B,Human
VTN,ITGB3,Human
VTN,ITGB6,Human
VTN,TNFRSF11B,Human
VTN,PVR,Human
VTN,ITGB5,Human
IBSP,ITGB3,Human
IBSP,ITGAV,Human
CXCL6,ADRA2A,Human
CXCL6,ACKR1,Human
CXCL6,CXCR2,Human
CXCL6,GRM7,Human
CXCL6,CXCR1,Human
CXCL6,MTNR1A,Human
IL2,IL2RA,Human
IL2,IL2RG,Human
IL2,CD53,Human
APOC3,LRP2,Human
APOC3,LDLR,Human
APOC3,LRP1,Human
APOC3,SDC2,Human
APOC3,TLR2,Human
KITLG,KIT,Human
CLEC2B,KLRF1,Human
SELPLG,ITGAM,Human
SELPLG,ESAM,Human
SELPLG,SELL,Human
SELPLG,SELP,Human
SELPLG,SELE,Human
SELPLG,ITGB2,Human
IL23A,IL12RB1,Human
IL23A,IL12RB2,Human
IL23A,IL23R,Human
FGF6,FGFR2,Human
FGF6,SDC4,Human
FGF6,FGFR4,Human
FGF6,FGFR1,Human
FGF6,FGFR3,Human
IL26,IL10RB,Human
IL26,IL20RA,Human
IFNG,IFNGR2,Human
IFNG,IFNGR1,Human
GNB3,TGFBR1,Human
GNB3,GABBR2,Human
ULBP1,KLRK1,Human
LAMA4,ITGA6,Human
LAMA4,ITGAV,Human
LAMA4,ITGB1,Human
