ligand,receptor,species
FGF19,FGFR3,Human
DRAXIN,DCC,Human
VCAM1,ITGA4,Human
VCAM1,ITGB1,Human
VCAM1,ITGB2,Human
VCAM1,EZR,Human
VCAM1,MSN,Human
VCAM1,ITGAD,Human
ARPC5,ADRB2,Human
ARPC5,LDLR,Human
INHBB,ACVR2B,Human
INHBB,SMAD3,Human
INHBB,ACVR1B,Human
BMP10,ENG,Human
BMP10,ACVRL1,Human
BMP10,BMPR2,Human
BMP10,BMPR1A,Human
BMP10,BMPR1B,Human
TGFA,ERBB4,Human
COL6A3,ITGB1,Human
COL6A3,ITGA2,Human
PROK2,PROKR1,Human
IHH,PTCH1,Human
IHH,HHIP,Human
IHH,BOC,Human
IHH,CDON,Human
IHH,PTCH2,Human
CXCL3,MTNR1A,Human
CXCL3,CXCR2,Human
CXCL3,GRM7,Human
CXCL5,MTNR1A,Human
CXCL5,ACKR1,Human
CXCL5,CXCR2,Human
CXCL5,GRM7,Human
PPBP,MTNR1A,Human
PPBP,ACKR1,Human
PPBP,CXCR2,Human
PPBP,GRM7,Human
PF4,CXCR3,Human
PF4,FGFR2,Human
PF4,SDC2,Human
PF4,ACKR1,Human
PF4,GRM7,Human
PF4,LDLR,Human
PF4,THBD,Human
PF4,MTNR1A,Human
UCN,CRHR1,Human
UCN,CRHR2,Human
TDGF1,ACVR2B,Human
TDGF1,SMAD3,Human
TDGF1,ACVR1B,Human
LIPH,LPAR1,Human
LIPH,LPAR4,Human
LIPH,LPAR2,Human
MELTF,TFRC,Human
CAMP,P2RX7,Human
CAMP,FPR2,Human
IL15,IL15RA,Human
IL15,IL2RA,Human
IL15,IL2RG,Human
SCGB3A2,MARCO,Human
SPINK1,NRSN1,Human
IL3,CSF2RB,Human
IL3,IL3RA,Human
CSF2,ITGB1,Human
CSF2,CSF2RB,Human
CSF2,CSF2RA,Human
CSF2,IL3RA,Human
CSF2,SDC2,Human
CSF2,CSF3R,Human
FABP5,RXRA,Human
SHH,SCUBE2,Human
SHH,BOC,Human
SHH,GPC5,Human
SHH,CDON,Human
SHH,GAS1,Human
SHH,PTCH1,Human
SHH,PTCH2,Human
COL1A2,CD44,Human
COL1A2,ITGB1,Human
COL1A2,ITGA11,Human
COL1A2,ITGB3,Human
COL1A2,CD36,Human
DEFB1,CCR6,Human
COL14A1,CD44,Human
VEGFD,ITGA4,Human
VEGFD,ITGB1,Human
VEGFD,NRP2,Human
ARF6,PLD1,Human
ARF6,SMAP1,Human
JAM3,ITGB1,Human
JAM3,ITGB2,Human
HSP90B1,TLR9,Human
HSP90B1,TLR7,Human
HSP90B1,TLR4,Human
HSP90B1,TLR1,Human
COL6A2,ITGB1,Human
ANGPTL4,GPIHBP1,Human
ANGPTL4,TIE1,Human
FADD,ABCA1,Human
FADD,FAS,Human
FADD,TRADD,Human
PNOC,GRM7,Human
PNOC,OPRL1,Human
PNOC,MTNR1A,Human
PRL,PRLR,Human
CCL11,CXCR3,Human
CCL11,CCR3,Human
CCL11,DPP4,Human
CCL11,ACKR1,Human
CCL11,ACKR2,Human
NRTN,RET,Human
NRTN,GFRA2,Human
NRTN,GFRA1,Human
IGF1,INSR,Human
IGF1,IGF2R,Human
INSL5,MTNR1A,Human
INSL5,RXFP4,Human
INSL5,RXFP3,Human
INSL5,GRM7,Human
IL16,GRIN2B,Human
IL16,KCNJ4,Human
IL16,KCNJ15,Human
IL16,KCNA3,Human
IL16,KCNJ10,Human
IL16,KCND2,Human
IL16,GRIN2A,Human
HSPA4,TLR4,Human
PCSK9,VLDLR,Human
PCSK9,LDLR,Human
SEMA3E,PLXND1,Human
IL12A,IL12RB1,Human
IL12A,CD28,Human
TRH,TRHR,Human
DEFB4A,CCR6,Human
DEFB4A,TLR4,Human
CD14,ITGA4,Human
CD14,ITGB1,Human
CD14,TLR6,Human
CD14,TLR9,Human
CD14,ITGB2,Human
CD14,TLR4,Human
CD14,TLR1,Human
COL3A1,DDR2,Human
COL3A1,ITGB1,Human
COL3A1,MAG,Human
COL3A1,DDR1,Human
IL13,IL13RA2,Human
IL13,TMEM219,Human
IL13,IL2RG,Human
IL13,IL13RA1,Human
IL13,IL4R,Human
NLGN2,NRXN1,Human
NLGN2,NRXN3,Human
NLGN2,MDGA1,Human
CXCL10,DPP4,Human
CXCL10,SDC4,Human
CXCL10,CXCR3,Human
CXCL10,CCR3,Human
CXCL10,GRM7,Human
BMP1,BMPR2,Human
BMP1,BMPR1A,Human
BMP1,BMPR1B,Human
FGB,ITGAM,Human
FGB,ITGB1,Human
FGB,ITGB3,Human
FGB,ITGB2,Human
FGB,TLR4,Human
FGA,ITGAM,Human
FGA,ITGAX,Human
FGA,ITGB1,Human
FGA,PLAUR,Human
FGA,ITGB3,Human
FGA,CDH5,Human
FGA,ITGB2,Human
FGA,TLR4,Human
FGA,ITGAD,Human
CXCL8,SDC1,Human
CXCL8,SDC3,Human
CXCL8,SDC2,Human
CXCL8,ACKR1,Human
CXCL8,CXCR2,Human
CXCL8,GRM7,Human
SEMA4C,PLXNB2,Human
CXCL11,DPP4,Human
CXCL11,CXCR3,Human
CXCL11,CCR3,Human
CXCL11,ACKR1,Human
CXCL11,GRM7,Human
PRND,RPSA,Human
HAS2,HMMR,Human
HAS2,CD44,Human
NPTX1,NPTXR,Human
RGMB,HJV,Human
RGMB,BMPR2,Human
RGMB,NEO1,Human
RGMB,BMPR1B,Human
F2,GP1BB,Human
F2,F2R,Human
F2,THBD,Human
F2,GP1BA,Human
INHBC,ACVR2B,Human
INHBC,ACVR1B,Human
CCL19,CCR10,Human
CCL19,CXCR3,Human
CCL19,GRM7,Human
CCL19,ACKR2,Human
CCL19,CCRL2,Human
PLG,ITGAM,Human
PLG,ITGB1,Human
PLG,PLAUR,Human
PLG,ITGB2,Human
PLG,F2R,Human
PLG,IGF2R,Human
PLG,F3,Human
CLCF1,CNTFR,Human
CLCF1,CRLF1,Human
CLCF1,IL6ST,Human
CSHL1,GHR,Human
LPL,GPIHBP1,Human
LPL,CD44,Human
LPL,SDC1,Human
LPL,VLDLR,Human
EFEMP2,AQP1,Human
EFEMP2,PLSCR4,Human
ADAM17,MUC1,Human
ADAM17,ITGB1,Human
ADAM17,RHBDF2,Human
ADAM17,IL6R,Human
ADAM17,MET,Human
ADAM17,ERBB4,Human
VEGFB,RET,Human
FGF5,FGFR2,Human
FGF5,FGFR1,Human
FGF5,FGFR3,Human
LEP,LEPR,Human
GH1,GHR,Human
GH1,PRLR,Human
GNAI2,LPAR3,Human
GNAI2,S1PR5,Human
GNAI2,EDNRA,Human
GNAI2,ADORA1,Human
GNAI2,C5AR1,Human
GNAI2,ADRA2B,Human
GNAI2,F2R,Human
GNAI2,FPR1,Human
GNAI2,S1PR3,Human
GNAI2,OPRM1,Human
GNAI2,UNC5B,Human
GNAI2,CAV1,Human
GNAI2,PTPRU,Human
GNAI2,TBXA2R,Human
GNAI2,CXCR3,Human
GNAI2,EDNRB,Human
GNAI2,CXCR2,Human
GNAI2,DRD2,Human
GNAI2,ADCY7,Human
GNAI2,TSHR,Human
GNAI2,AGTR2,Human
GNAI2,CNR1,Human
ANGPT2,TIE1,Human
ANGPT2,TEK,Human
TLN1,ITGB3,Human
CSH1,PRLR,Human
AGTRAP,RACK1,Human
PKM,CD44,Human
CALR,MPL,Human
CALR,TSHR,Human
DEFB103A,CCR6,Human
TAC1,TACR2,Human
LPA,ITGAM,Human
LPA,LPAR3,Human
LPA,ITGB2,Human
LPA,LPAR1,Human
LPA,LPAR4,Human
LPA,LPAR2,Human
FGF8,FGFR2,Human
FGF8,FGFRL1,Human
FGF8,FGFR1,Human
FGF8,FGFR3,Human
FGF13,FGFR1,Human
FGF13,SCN5A,Human
FGF13,FGFR2,Human
FGF13,FGFR3,Human
FGF13,SCN8A,Human
MMP1,CD44,Human
PENK,OPRM1,Human
PENK,GRM7,Human
LAMA3,ITGB1,Human
DEFB103B,CCR6,Human
SEMA6D,TREM2,Human
SEMA6D,PLXNA1,Human
MTMR4,SMAD3,Human
WNT11,MUSK,Human
WNT11,KLRG2,Human
FBN1,ITGB3,Human
FBN1,ITGB1,Human
PSEN1,NOTCH4,Human
PSEN1,CD44,Human
BGN,TLR4,Human
BGN,TLR1,Human
BMP8A,BMPR2,Human
BMP8A,BMPR1A,Human
BMP8A,BMPR1B,Human
CSF1,SIRPA,Human
IZUMO1,CD9,Human
IZUMO1,IZUMO1R,Human
P4HB,MTTP,Human
JAG2,NOTCH4,Human
EFNA5,EPHB6,Human
EFNA5,EPHA7,Human
EFNA5,EPHA10,Human
EFNA5,EPHA3,Human
EFNA5,EPHA5,Human
EFNA5,EPHB1,Human
EFNA5,EPHB2,Human
EFNA5,EPHA6,Human
EFNA5,EPHA2,Human
NXPH3,NRXN1,Human
NXPH3,NRXN3,Human
SERPINA7,SLC16A2,Human
NPW,NPBWR2,Human
NPW,GRM7,Human
NPW,NPBWR1,Human
CTHRC1,FZD5,Human
CTHRC1,FZD6,Human
CTHRC1,FZD3,Human
CNTN2,CNTNAP2,Human
CNTN2,CNTN1,Human
CNTN2,NRCAM,Human
BCAN,NRCAM,Human
GAST,CCKBR,Human
FBLN1,ITGB1,Human
CALCA,ADCYAP1R1,Human
CALCA,CALCRL,Human
CALCA,GPR84,Human
CALCA,CALCR,Human
CALCA,GPR20,Human
CALCA,ADRB3,Human
CALCA,TSHR,Human
COL4A5,CD47,Human
COL4A5,ITGB1,Human
SLIT3,ROBO2,Human
SLIT3,ROBO1,Human
PMCH,GRM7,Human
COL7A1,ITGB1,Human
NPB,NPBWR2,Human
NPB,GRM7,Human
GH2,GHR,Human
BTLA,VTCN1,Human
BTLA,TNFRSF14,Human
BTLA,CD247,Human
TAC4,TACR2,Human
FGF3,FGFR2,Human
FGF3,FGFR1,Human
FGF3,FGFR3,Human
GHRL,PTGER3,Human
GHRL,TBXA2R,Human
HSP90AA1,ITGB3,Human
HSP90AA1,FGFR3,Human
FGG,ITGB1,Human
FGG,ITGB3,Human
FGG,ITGB2,Human
FGG,TLR4,Human
CXCL14,CXCR4,Human
EDN3,EDNRB,Human
EDN3,KEL,Human
RTN4,TNFRSF19,Human
RTN4,GJB2,Human
RTN4,LINGO1,Human
C1QTNF1,AVPR2,Human
DMP1,PHEX,Human
DMP1,ITGB3,Human
NTN4,DCC,Human
WNT7B,FZD4,Human
WNT7B,TMED5,Human
PTN,SDC1,Human
PTN,SDC3,Human
PTN,PTPRZ1,Human
PTN,PTPRS,Human
PTN,ALK,Human
NCR3LG1,NCR3,Human
COL9A3,ITGB1,Human
COL9A3,MAG,Human
SLPI,PLSCR4,Human
ICAM4,ITGAM,Human
ICAM4,ITGAL,Human
ICAM4,ITGA4,Human
ICAM4,ITGB3,Human
ICAM4,ITGB2,Human
ICAM4,ITGB1,Human
ICAM4,RHAG,Human
TNFSF13,TNFRSF14,Human
TNFSF13,FAS,Human
HMGB1,SDC1,Human
HMGB1,TLR9,Human
HMGB1,THBD,Human
HMGB1,TLR4,Human
HMGB1,CXCR4,Human
HMGB1,AGER,Human
HMGB1,CD163,Human
FYN,SPN,Human
FN1,ITGA4,Human
FN1,ITGB3,Human
FN1,C5AR1,Human
FN1,ITGA6,Human
FN1,ITGA8,Human
FN1,DPP4,Human
FN1,CD44,Human
FN1,ITGB1,Human
FN1,TMPRSS6,Human
FN1,COL13A1,Human
FN1,TSHR,Human
FN1,MAG,Human
COL18A1,ITGB1,Human
COL18A1,ITGB3,Human
COL18A1,GPC4,Human
HP,ITGAM,Human
HP,ITGB2,Human
HP,TLR4,Human
HP,CD163,Human
RSPO1,LGR6,Human
RSPO1,LGR4,Human
RSPO1,ZNRF3,Human
RSPO1,FZD8,Human
RSPO3,LGR6,Human
RSPO3,LGR4,Human
RSPO3,SDC4,Human
RSPO3,FZD8,Human
ADAM15,ITGB1,Human
ADAM15,ITGB3,Human
CALM1,KCNQ3,Human
CALM1,GRM3,Human
CALM1,CALCR,Human
CALM1,GRM4,Human
CALM1,CRHR1,Human
CALM1,GRM7,Human
CALM1,MYLK,Human
CALM1,PDE1A,Human
CALM1,HMMR,Human
CALM1,ADCYAP1R1,Human
CALM1,OPRM1,Human
CALM1,RYR2,Human
CALM1,GLP1R,Human
CALM1,PDE1C,Human
CALM1,TRPC3,Human
CALM1,SCN10A,Human
CALM1,AQP6,Human
CALM1,PTPRA,Human
CALM1,MYLK2,Human
CALM1,SCN4A,Human
COL9A1,ITGB1,Human
COL9A1,MAG,Human
GIP,ADCYAP1R1,Human
GIP,GIPR,Human
GIP,DPP4,Human
GIP,TSHR,Human
GIP,GPR20,Human
GIP,GPR84,Human
APOA4,LDLR,Human
SEMA4F,NRP2,Human
GAD1,GRM4,Human
ITIH2,FCER1A,Human
ALKAL1,ALK,Human
NLGN3,NRXN1,Human
NLGN3,NRXN3,Human
CCL20,CXCR3,Human
CCL20,CCR6,Human
FGF17,FGFR2,Human
FGF17,FGFR1,Human
PYY,NPY5R,Human
PYY,DPP4,Human
PYY,NPY1R,Human
PYY,NPY4R,Human
F8,LDLR,Human
COL4A2,ITGB3,Human
LAMC3,ITGA6,Human
LAMC3,ITGB1,Human
CCL28,ACKR2,Human
CCL28,CCR3,Human
CXCL9,CXCR3,Human
CXCL9,CCR3,Human
COL6A1,ITGB1,Human
COL6A1,ITGA6,Human
TGM2,ITGA4,Human
TGM2,ITGB1,Human
TGM2,ITGB3,Human
TGM2,SDC4,Human
TGM2,TBXA2R,Human
TGM2,ADGRG1,Human
CNTF,CNTFR,Human
CNTF,IL6R,Human
CNTF,IL6ST,Human
AGT,AGTR1,Human
AGT,AGTR2,Human
DLL1,NOTCH4,Human
THBS2,ITGA4,Human
THBS2,ITGB1,Human
THBS2,ITGB3,Human
THBS2,NOTCH4,Human
THBS2,ITGA6,Human
THBS2,CD36,Human
LEFTY2,ACVR1B,Human
TGFB2,ENG,Human
TGFB2,TGFBR1,Human
C4BPA,BMPR2,Human
C4BPA,CD40,Human
VIP,ADCYAP1R1,Human
VIP,GPR84,Human
VIP,GPR20,Human
VIP,TSHR,Human
CFH,ITGAM,Human
PTGS2,ALOX5,Human
FASLG,TNFRSF6B,Human
XCL1,ADGRV1,Human
CCN2,ITGAM,Human
CCN2,NTRK1,Human
CCN2,ITGB2,Human
APOA2,LDLR,Human
SEMA4A,PLXNB2,Human
SEMA4A,PLXNB3,Human
EFNA1,EPHB6,Human
EFNA1,EPHA7,Human
EFNA1,EPHA10,Human
EFNA1,EPHA5,Human
EFNA1,EPHB1,Human
EFNA1,EPHA6,Human
EFNA3,EPHB6,Human
EFNA3,EPHA7,Human
EFNA3,EPHA10,Human
EFNA3,EPHA5,Human
EFNA3,EPHB1,Human
EFNA3,EPHA6,Human
ADAM12,ITGB1,Human
ADAM12,SDC4,Human
S100A8,ITGB2,Human
S100A8,TLR4,Human
S100A8,CD36,Human
S100A8,AGER,Human
S100A12,TLR4,Human
S100A12,CD36,Human
S100A9,ITGB2,Human
S100A9,TLR4,Human
S100A9,CD36,Human
S100A9,AGER,Human
NGF,NTRK1,Human
NGF,SORCS2,Human
NGF,TRPV1,Human
NGF,MAGED1,Human
NGF,BEX3,Human
NGF,SORCS3,Human
WNT2B,FZD4,Human
L1CAM,FGFR2,Human
L1CAM,EPHB2,Human
L1CAM,CNTN1,Human
COL11A1,ITGB1,Human
COL11A1,DDR1,Human
CD40LG,ITGAM,Human
CD40LG,CD40,Human
CD40LG,ITGB2,Human
CD40LG,TRAF3,Human
BMP5,BMPR2,Human
BMP5,BMPR1A,Human
BMP5,BMPR1B,Human
ITGB3BP,ITGB3,Human
GNAS,CRHR1,Human
GNAS,GLP1R,Human
GNAS,GCGR,Human
GNAS,ADCY7,Human
GNAS,TSHR,Human
ANGPTL3,ITGB3,Human
RBP4,STRA6,Human
COL5A1,ITGB1,Human
CEL,CXCR4,Human
SFTPD,SIRPA,Human
SFTPD,TLR4,Human
MMP9,ITGAM,Human
MMP9,RECK,Human
MMP9,CD44,Human
MMP9,ITGB2,Human
MMP9,EPHB2,Human
EDN2,EDNRB,Human
SPTAN1,PTPRA,Human
COL9A2,ITGB1,Human
COL9A2,MAG,Human
PLAU,ITGAM,Human
PLAU,VLDLR,Human
PLAU,ITGB1,Human
PLAU,ITGB2,Human
BMP8B,BMPR2,Human
BMP8B,BMPR1B,Human
ANGPTL2,LILRB2,Human
GHRH,ADCYAP1R1,Human
GHRH,GPR20,Human
GHRH,TSHR,Human
GHRH,GPR84,Human
COL16A1,ITGB1,Human
TNFSF15,TNFRSF25,Human
GDF5,ROR2,Human
GDF5,BMPR2,Human
GDF5,BMPR1B,Human
EDA,EDA2R,Human
HSPG2,SDC1,Human
HSPG2,ITGB1,Human
HSPG2,COL13A1,Human
HSPG2,FGFR1,Human
COL5A2,ITGB1,Human
COL5A2,DDR1,Human
F10,ITGAM,Human
F10,ITGB2,Human
SYK,LAT,Human
COL4A1,ITGB1,Human
FGF14,FGFR2,Human
FGF14,FGFR1,Human
HLA-C,LILRB2,Human
HLA-C,CD3G,Human
HLA-C,KIR3DL1,Human
HLA-E,KLRC2,Human
HLA-E,KLRD1,Human
HLA-E,KIR3DL1,Human
HLA-E,KLRC1,Human
ANXA1,FPR2,Human
ANXA1,FPR1,Human
ANXA1,DYSF,Human
IL31,IL31RA,Human
CORT,SSTR3,Human
ACTR2,LDLR,Human
NDP,FZD4,Human
NDP,LGR4,Human
CCL7,CCR3,Human
CCL7,ACKR2,Human
GDF9,BMPR1B,Human
BMP2,BMPR1B,Human
AGRN,ITGB1,Human
AGRN,ATP1A3,Human
INSL3,ADCYAP1R1,Human
INSL3,TSHR,Human
INSL3,GPR84,Human
INSL3,RXFP1,Human
AVP,ADCYAP1R1,Human
AVP,LDLR,Human
AVP,GPR84,Human
AVP,TSHR,Human
UCN3,CRHR1,Human
SHBG,CLDN4,Human
COL2A1,ITGB1,Human
COL2A1,MAG,Human
COL2A1,DDR1,Human
RLN2,ADCYAP1R1,Human
RLN2,TSHR,Human
RLN2,GPR84,Human
RLN2,RXFP1,Human
ZG16B,TLR5,Human
ZG16B,CXCR4,Human
FGF9,FGFR2,Human
FGF9,FGFR1,Human
SEMA5A,PLXNB3,Human
RPH3A,NRXN1,Human
LAMA1,ITGA6,Human
LAMA1,ITGA7,Human
LAMA1,ITGB1,Human
CCL25,ACKR2,Human
LAMB3,CD151,Human
LAMB3,ITGB1,Human
LAMB3,ITGA6,Human
AFDN,EPHB6,Human
AFDN,NRXN3,Human
AFDN,NECTIN3,Human
CSH2,PRLR,Human
IL1F10,IL1R1,Human
CCL8,CCR3,Human
CCL8,ACKR2,Human
COL4A6,ITGB1,Human
CCL26,CCR3,Human
SPP1,ITGA4,Human
SPP1,CD44,Human
SPP1,ITGB1,Human
SPP1,ITGB3,Human
LGALS9,CD44,Human
LGALS9,SLC1A5,Human
ADM2,ADCYAP1R1,Human
ADM2,CALCRL,Human
ADM2,TSHR,Human
ADM2,GPR84,Human
CXCL12,ITGB1,Human
CXCL12,CXCR4,Human
BMP7,BMPR1B,Human
COL4A3,ITGB3,Human
COL4A4,ITGB3,Human
HLA-A,CD3G,Human
CNTN4,PTPRG,Human
TCTN1,TMEM67,Human
PDCD1LG2,PDCD2,Human
NPS,ADCYAP1R1,Human
NPS,GPR84,Human
NPS,TSHR,Human
TNFSF11,TNFRSF11A,Human
DSCAM,DCC,Human
POMC,ADCYAP1R1,Human
POMC,OPRM1,Human
POMC,MC1R,Human
POMC,GPR84,Human
POMC,TSHR,Human
FBLN2,ITGB3,Human
NPY,NPY5R,Human
NXPH1,NRXN1,Human
NXPH1,NRXN3,Human
SAA1,FPR2,Human
SAA1,FPR1,Human
MDK,ITGA6,Human
TF,LDLR,Human
TF,TFR2,Human
TF,HFE,Human
ARTN,GFRA2,Human
GCG,ADCYAP1R1,Human
GCG,GPR84,Human
GCG,TSHR,Human
ADIPOQ,GPR42,Human
PTPN6,CD300LF,Human
APLN,APLNR,Human
NLGN1,NRXN3,Human
CLEC2A,KLRF2,Human
C4A,C5AR2,Human
NTF3,NTRK1,Human
RLN3,ADCYAP1R1,Human
RLN3,TSHR,Human
RLN3,GPR84,Human
RLN3,RXFP1,Human
TNF,FFAR2,Human
CCN1,ITGAM,Human
CCN1,ITGB3,Human
HLA-B,CD3G,Human
FGF16,FGFR2,Human
LAMA2,ITGA7,Human
CCL24,CCR3,Human
CCL24,ACKR2,Human
HRAS,AGTR1,Human
GDNF,GFRA2,Human
HLA-G,KLRC1,Human
EFNA4,EPHA5,Human
ICAM2,ITGAM,Human
FSHB,ADCYAP1R1,Human
FSHB,TSHR,Human
FSHB,GPR84,Human
RARRES2,CMKLR2,Human
LRPAP1,LDLR,Human
C1QTNF5,MFRP,Human
HSPA8,LDLR,Human
CALCB,ADCYAP1R1,Human
CALCB,TSHR,Human
CALCB,GPR84,Human
ADM,ADCYAP1R1,Human
ADM,TSHR,Human
ADM,GPR84,Human
PTHLH,ADCYAP1R1,Human
PTHLH,GPR84,Human
ADCYAP1,ADCYAP1R1,Human
CGA,ADCYAP1R1,Human
S100A10,CFTR,Human
SHANK2,CFTR,Human
HSP90AA1,CFTR,Human
PLAU,ITGA3,Human
LAMA3,ITGA3,Human
LAMA4,ITGA3,Human
LAMA2,ITGA3,Human
LAMA1,ITGA3,Human
LGALS8,ITGA3,Human
NID1,ITGA3,Human
LAMC3,ITGA3,Human
THBS1,ITGA3,Human
CALR,ITGA3,Human
TIMP2,ITGA3,Human
RELN,ITGA3,Human
LAMB2,ITGA3,Human
COL4A3,ITGA3,Human
LAMA5,ITGA3,Human
ADAM9,ITGA3,Human
LAMC1,ITGA3,Human
LAMB3,ITGA3,Human
COL18A1,ITGA3,Human
VTN,ITGA3,Human
LAMB1,ITGA3,Human
LAMC2,ITGA3,Human
FN1,ITGA3,Human
S100A4,PGLYRP1,Human
MIF,CD74,Human
APP,CD74,Human
HLA-G,CD4,Human
CXCL12,CD4,Human
SLPI,CD4,Human
PIP,CD4,Human
IL16,CD4,Human
CPAMD8,SCTR,Human
ADCYAP1,SCTR,Human
VIP,SCTR,Human
SCT,SCTR,Human
CALM1,SCTR,Human
RTN4,RTN4R,Human
OMG,RTN4R,Human
TNFSF13,TNFRSF17,Human
TNFSF13B,TNFRSF17,Human
CD70,TNFRSF17,Human
ST6GAL1,CD22,Human
HP,CD22,Human
CALM2,KCNQ1,Human
CALML3,KCNQ1,Human
CALM1,KCNQ1,Human
CALM3,KCNQ1,Human
FASLG,TNFRSF1A,Human
LTA,TNFRSF1A,Human
TNF,TNFRSF1A,Human
TNFSF13,TNFRSF1A,Human
LTB,TNFRSF1A,Human
EFNA3,EPHA8,Human
EFNA1,EPHA8,Human
EFNA2,EPHA8,Human
EFNA5,EPHA8,Human
EFNA4,EPHA8,Human
IL2,NGFR,Human
RTN4,NGFR,Human
NTF4,NGFR,Human
NTF3,NGFR,Human
OMG,NGFR,Human
APP,NGFR,Human
BDNF,NGFR,Human
NGF,NGFR,Human
NTS,NGFR,Human
BDNF,DRD4,Human
PYY,FAP,Human
NPY,FAP,Human
CD99,PILRA,Human
LAMA3,ITGB4,Human
LAMA2,ITGB4,Human
LAMC3,ITGB4,Human
LAMB2,ITGB4,Human
LAMA5,ITGB4,Human
LAMC1,ITGB4,Human
LAMA1,ITGB4,Human
LAMB3,ITGB4,Human
LAMB1,ITGB4,Human
LAMC2,ITGB4,Human
TGFB1,TGFBR3,Human
FGF1,TGFBR3,Human
TGFB3,TGFBR3,Human
INHA,TGFBR3,Human
TGFB2,TGFBR3,Human
INHBA,TGFBR3,Human
IL2,IL2RB,Human
IL15,IL2RB,Human
KNG1,BDKRB1,Human
PROC,PROCR,Human
PF4,PROCR,Human
PROK2,PROKR2,Human
PROK1,PROKR2,Human
FAM3C,GLRA2,Human
IL16,KCND1,Human
GHRL,MLNR,Human
MLN,MLNR,Human
TNFSF10,TNFRSF10A,Human
COL2A1,TNFRSF10A,Human
RIMS1,SLC17A7,Human
APP,APLP1,Human
BTLA,CD79A,Human
CXCL8,CD79A,Human
FN1,CD79A,Human
KLK3,EPOR,Human
KITLG,EPOR,Human
EPO,EPOR,Human
LAMA1,ITGB8,Human
VTN,ITGB8,Human
COL4A1,ITGB8,Human
FN1,ITGB8,Human
APP,TSPAN12,Human
ADAM10,TSPAN12,Human
PLG,PLGRKT,Human
C1QB,C1QBP,Human
GNRH2,GNRHR,Human
GNRH1,GNRHR,Human
HBEGF,CD82,Human
IL22,IL10RA,Human
IL10,IL10RA,Human
S100A8,CD69,Human
TNFSF14,LTBR,Human
LTA,LTBR,Human
LTB,LTBR,Human
WNT7B,FZD10,Human
WNT7A,FZD10,Human
CLEC2D,KLRB1,Human
IL33,IL1RL1,Human
KISS1,KISS1R,Human
PDYN,OPRD1,Human
GNAI2,OPRD1,Human
POMC,OPRD1,Human
CXCL13,OPRD1,Human
PENK,OPRD1,Human
CALM2,SELL,Human
PODXL2,SELL,Human
VCAN,SELL,Human
CD34,SELL,Human
MUC7,SELL,Human
CALM1,SELL,Human
PODXL,SELL,Human
CALM3,SELL,Human
CFH,SELL,Human
NPY,PRLHR,Human
HLA-E,KLRK1,Human
MICB,KLRK1,Human
MICA,KLRK1,Human
RAET1L,KLRK1,Human
ULBP2,KLRK1,Human
ULBP3,KLRK1,Human
RAET1E,KLRK1,Human
RAET1G,KLRK1,Human
GHRL,GHSR,Human
CORT,GHSR,Human
INHBC,ACVR2A,Human
GDF9,ACVR2A,Human
BMP7,ACVR2A,Human
CFC1,ACVR2A,Human
NODAL,ACVR2A,Human
BMP15,ACVR2A,Human
BMP10,ACVR2A,Human
GDF7,ACVR2A,Human
LEFTY1,ACVR2A,Human
INHA,ACVR2A,Human
INHBA,ACVR2A,Human
GDF1,ACVR2A,Human
INHBB,ACVR2A,Human
INHBE,ACVR2A,Human
LEFTY2,ACVR2A,Human
GDF2,ACVR2A,Human
TDGF1,ACVR2A,Human
BMP2,ACVR2A,Human
BMP6,ACVR2A,Human
GDF11,ACVR2A,Human
GDF5,ACVR2A,Human
FLT3LG,FLT3,Human
ADCYAP1,RAMP3,Human
GHRH,RAMP3,Human
CALCA,RAMP3,Human
ADM,RAMP3,Human
CGA,RAMP3,Human
GCG,RAMP3,Human
TSHB,RAMP3,Human
PTH2,RAMP3,Human
AVP,RAMP3,Human
VIP,RAMP3,Human
PTH,RAMP3,Human
ADM2,RAMP3,Human
PTHLH,RAMP3,Human
NPS,RAMP3,Human
FSHB,RAMP3,Human
POMC,RAMP3,Human
RLN2,RAMP3,Human
CALCB,RAMP3,Human
RLN3,RAMP3,Human
GIP,RAMP3,Human
CRH,RAMP3,Human
INSL3,RAMP3,Human
CD55,ADGRE5,Human
CALM2,PDE1B,Human
CALM1,PDE1B,Human
CALM3,PDE1B,Human
APOA2,LRP1,Human
AGRN,LRP1,Human
GPC3,LRP1,Human
PDGFB,LRP1,Human
A2M,LRP1,Human
APOC2,LRP1,Human
SERPINA1,LRP1,Human
SERPINE2,LRP1,Human
HSPG2,LRP1,Human
MMP13,LRP1,Human
APOE,LRP1,Human
PCSK9,LRP1,Human
MMP9,LRP1,Human
HSP90B1,LRP1,Human
MDK,LRP1,Human
PLAU,LRP1,Human
LRPAP1,LRP1,Human
C3,LRP1,Human
FCN2,LRP1,Human
THBS1,LRP1,Human
HSP90AA1,LRP1,Human
APOA4,LRP1,Human
CALR,LRP1,Human
C1QB,LRP1,Human
C4BPA,LRP1,Human
VWF,LRP1,Human
F8,LRP1,Human
CCN2,LRP1,Human
HPX,LRP1,Human
APP,LRP1,Human
LPL,LRP1,Human
LIPC,LRP1,Human
PF4,LRP1,Human
PSAP,LRP1,Human
WNT3A,LRP1,Human
NODAL,ACVR1C,Human
INHBB,ACVR1C,Human
TDGF1,ACVR1C,Human
